training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
4.09589,-4.776946,180.97932,683.49524,2.0725873,-9.560562,0.07423548,1.0,108.94498,0.8081479,-4.637357,0.017065946,1.0,0.25142857,-38.797302,-96.70822,3.0347426,694.7206,1.9765352,-9.593451,0.08081311,1.0,98.32951,0.81124187,-4.633275,0.015433026,1.0,0.23195799,-39.03234,-96.588585,2.3240561,0.003925991344451905,295.0811061859131,55000
3.210141,-3.094682,148.48833,653.49756,1.1638029,-9.600981,0.08231916,1.0,105.497086,0.8756345,-4.63293,0.015294758,1.0,0.16521102,-41.89125,-98.0388,2.241892,675.19775,1.6947852,-9.606695,0.08346202,1.0,103.3013,0.85064733,-4.645331,0.020255415,1.0,0.20689122,-41.14239,-97.89888,1.7584591,0.0039010605335235596,314.58641171455383,60000
4.075426,-3.4780874,118.18023,668.2905,1.877444,-9.5791025,0.07794341,1.0,121.639175,0.87841505,-4.6340027,0.015724242,1.0,0.24013054,-41.72459,-98.76459,1.9734344,705.81964,2.188952,-9.565238,0.07517054,1.0,110.12068,0.85517395,-4.626686,0.012797504,1.0,0.25680274,-40.618668,-98.6558,1.143638,0.003947051334381104,334.32167506217957,65000
8.518865,-6.552144,177.78978,669.7439,1.8077517,-9.685472,0.09921731,1.0,123.70813,0.8912753,-4.638215,0.017408913,1.0,0.24529572,-41.254288,-99.1349,1.8530546,679.9921,1.6642067,-9.698856,0.10189426,1.0,134.16852,0.9247437,-4.6340513,0.015743537,1.0,0.25341886,-40.777893,-99.11218,2.6879103,0.003979389953613281,354.2186303138733,70000
3.2316513,-2.5864167,186.97247,663.58466,1.645804,-9.593277,0.080778375,1.0,105.49315,0.8426935,-4.6308537,0.01446448,1.0,0.2496441,-40.872795,-99.532074,2.4774153,664.24634,1.3857574,-9.6368,0.08948297,1.0,119.455124,0.87194973,-4.632263,0.0150283575,1.0,0.17954609,-41.656868,-99.586624,2.3605657,0.0038700753211975097,373.5690107345581,75000
3.5758648,-2.5899687,128.42233,678.4407,1.7886183,-9.55072,0.07226699,1.0,104.98943,0.82189506,-4.631692,0.014799836,1.0,0.14638755,-41.00019,-100.041664,1.8698255,661.1101,1.3435993,-9.585516,0.07922629,1.0,106.98426,0.80019224,-4.63282,0.015250916,1.0,0.17958808,-40.660076,-99.95297,1.1386993,0.0038201555728912353,392.66979360580444,80000
3.7529128,-4.3948946,117.165726,657.4591,1.8038471,-9.601671,0.08245714,1.0,102.78747,0.8250333,-4.6314993,0.01472259,1.0,0.36293164,-42.514366,-99.976685,1.4684426,675.4586,1.8196243,-9.606172,0.08335734,1.0,105.13298,0.86048275,-4.6331,0.015362929,1.0,0.21784694,-40.422638,-100.170166,1.5946419,0.003820094871520996,411.7702736854553,85000
1.2654779,-2.119559,99.99964,673.1271,2.036378,-9.54903,0.07192901,1.0,117.22234,0.8742205,-4.634865,0.016068898,1.0,0.21435915,-42.359848,-100.24034,1.415184,655.8174,1.5882745,-9.579945,0.0781118,1.0,121.93325,0.8663416,-4.63336,0.015466881,1.0,0.2384698,-42.6731,-100.10777,1.8459837,0.00380993275642395,430.8199408054352,90000
6.3197722,-6.829015,176.93384,671.99646,1.759746,-9.603032,0.08272939,1.0,114.47601,0.86182034,-4.630956,0.014505376,1.0,0.20531121,-42.50994,-100.190315,2.1885018,653.8104,1.5366772,-9.594084,0.08093995,1.0,117.9559,0.9318954,-4.6383276,0.01745396,1.0,0.3127454,-42.29129,-100.075325,2.0460083,0.003824828338623047,449.94408559799194,95000
2.8974187,-2.8854275,170.1533,666.03687,2.0043356,-9.604075,0.08293804,1.0,101.65262,0.88095045,-4.636368,0.01667012,1.0,0.18273133,-40.842155,-100.193634,2.8992138,665.12354,1.7788758,-9.626965,0.08751585,1.0,99.28317,0.7489811,-4.630801,0.014443529,1.0,0.20311537,-41.191593,-100.0753,2.1639686,0.003820619821548462,469.0471901893616,100000
2.670961,-3.1016562,153.85666,654.285,1.3883123,-9.621244,0.08637174,1.0,116.85031,0.86938024,-4.6389523,0.017703846,1.0,0.15139584,-41.434425,-100.38588,1.4927443,687.29755,1.853217,-9.581638,0.078450456,1.0,114.33506,0.9280784,-4.633319,0.015450745,1.0,0.36423177,-41.6373,-100.49484,1.468005,0.017870278120040894,558.398583650589,105000
4.621334,-3.8132663,145.42537,691.1199,2.0663626,-9.568242,0.07577137,1.0,105.86726,0.8425216,-4.63413,0.01577494,1.0,0.40334445,-41.94604,-100.14015,1.8193156,676.80066,1.8294997,-9.618988,0.08592047,1.0,115.532974,0.8983532,-4.640085,0.01815694,1.0,0.23018184,-42.584602,-100.357925,2.3588037,0.0038029376029968262,577.4132740497589,110000
2.022046,-2.84224,100.3111,694.11206,2.2373698,-9.607786,0.083680145,1.0,106.56691,0.8759048,-4.6295977,0.013962189,1.0,0.12948093,-41.395157,-100.5789,1.7445147,676.06226,1.8597099,-9.6488285,0.09188864,1.0,105.39746,0.83598614,-4.637487,0.01711767,1.0,0.12919998,-43.234394,-100.374825,1.7897037,0.0038043019771575926,596.434788942337,115000
3.2450674,-2.6051345,104.084045,675.427,1.9836674,-9.546233,0.07136964,1.0,113.54542,0.83877283,-4.630273,0.014232089,1.0,0.12118562,-41.999317,-100.49133,1.0523446,656.9155,1.5421481,-9.641624,0.090447925,1.0,114.96744,0.85249066,-4.630697,0.014401692,1.0,0.1149029,-42.306423,-100.42008,2.6026487,0.003798426818847656,615.4269263744354,120000
2.3580418,-1.684699,90.59367,664.08813,1.8079686,-9.575214,0.077165775,1.0,109.79083,0.879611,-4.6294756,0.013913219,1.0,0.15154023,-41.987263,-100.29942,1.5454061,684.6936,1.5339406,-9.57762,0.0776469,1.0,105.70354,0.8141954,-4.6279597,0.013306891,1.0,0.24066064,-41.532013,-100.39076,1.2785466,0.0037946282863616943,634.4000720977783,125000
3.9778075,-3.0327632,95.3226,678.5729,1.7112181,-9.593532,0.080829255,1.0,119.13414,0.7897884,-4.6300387,0.014138487,1.0,0.21044996,-42.82435,-100.225006,1.3899162,693.2702,1.8047457,-9.575121,0.077147216,1.0,114.001915,0.80087554,-4.6312556,0.014625179,1.0,0.22667822,-41.727722,-100.33124,1.3820214,0.003783306884765625,653.316609621048,130000
4.0208454,-4.539118,162.86646,669.06177,1.8792099,-9.533854,0.06889378,1.0,111.06177,0.9244578,-4.6300755,0.01415312,1.0,0.17493245,-43.52383,-100.540375,1.9074671,705.3125,2.3302593,-9.535521,0.069226936,1.0,108.73462,0.84672403,-4.634607,0.015965525,1.0,0.20419483,-42.43936,-100.42531,2.171689,0.0037946776866912843,672.2900025844574,135000
4.7121763,-3.652,107.78781,682.51263,2.1667783,-9.52222,0.06656697,1.0,112.31656,0.9350735,-4.6303425,0.014260086,1.0,0.14186394,-43.526566,-100.16113,1.6126369,672.2611,1.496809,-9.559693,0.07406161,1.0,106.167435,0.8439168,-4.6351256,0.016173167,1.0,0.09744921,-42.0366,-100.32924,1.6174955,0.0038084927082061766,691.332469701767,140000
2.3493004,-4.403401,106.05113,693.39124,2.271037,-9.594985,0.08111987,1.0,109.43019,0.8417772,-4.6293645,0.013868803,1.0,0.27625656,-40.450275,-100.20378,1.8346665,662.21155,1.5402025,-9.6325245,0.088627666,1.0,107.15862,0.8476137,-4.6349382,0.01609839,1.0,0.1662274,-41.19857,-100.24894,1.5802702,0.00380269775390625,710.3459615707397,145000
5.195753,-4.817079,136.41287,678.8347,1.9150367,-9.527588,0.06764062,1.0,116.90694,0.94187665,-4.632862,0.015267876,1.0,0.1999733,-42.062653,-100.207436,1.3133004,693.324,1.9786792,-9.577123,0.077547416,1.0,122.60147,0.8732073,-4.633582,0.015555809,1.0,0.9514959,-43.495697,-100.20483,1.4899817,0.003799266719818115,729.3422994613647,150000
1.7438267,-2.1000183,85.342804,669.2279,1.7392112,-9.558403,0.07380371,1.0,102.0647,0.81357634,-4.6331706,0.015391052,1.0,0.20156476,-41.7453,-100.317795,1.1200778,687.4015,2.0252662,-9.596336,0.08139024,1.0,99.054054,0.79851943,-4.6306834,0.014396389,1.0,1.2138705,-41.503174,-100.25662,1.5688238,0.0037985695362091065,748.3351500034332,155000
4.4999747,-2.4093184,105.69942,681.79346,1.6306794,-9.5882225,0.07976752,1.0,110.6982,0.8400326,-4.6263275,0.012653987,1.0,0.19729576,-41.715385,-99.98682,1.8106081,686.97107,1.9459449,-9.633241,0.08877112,1.0,105.79733,0.7916596,-4.633836,0.015657175,1.0,0.30101335,-41.20259,-99.956764,2.2825093,0.0038276224613189697,767.4732649326324,160000
6.1671267,-5.8014836,176.35619,696.7827,1.896845,-9.561006,0.07432412,1.0,110.30649,0.8498086,-4.632307,0.015045816,1.0,0.15960735,-42.585583,-100.02115,1.4116383,688.96533,2.1556745,-9.612431,0.0846092,1.0,113.05508,0.8574785,-4.632866,0.015269217,1.0,0.12035691,-42.26779,-99.856766,1.4507915,0.0037111971378326414,786.0292534828186,165000
5.845181,-5.137486,136.33713,665.3271,1.5849266,-9.643549,0.0908328,1.0,114.76288,0.88095635,-4.6272726,0.013032101,1.0,0.29211426,-42.21512,-100.368164,1.9329786,684.8573,1.8478636,-9.695831,0.10128944,1.0,108.107605,0.85518837,-4.629616,0.013969185,1.0,0.11939864,-43.204967,-100.28264,2.0697691,0.003707022476196289,804.5643699169159,170000
1.5846198,-2.9123037,100.29968,663.97534,1.7477725,-9.559647,0.07405214,1.0,118.81607,0.9231032,-4.630598,0.014362285,1.0,0.25365672,-42.320972,-100.19675,1.3606136,662.9259,1.8993251,-9.602832,0.08268931,1.0,125.24975,0.876912,-4.635013,0.016128292,1.0,0.124616995,-41.82721,-100.06871,1.7026783,0.0037044131755828856,823.086439371109,175000
4.3305078,-4.250498,140.9525,668.54443,1.5107036,-9.563601,0.074843064,1.0,106.94072,0.865343,-4.6278887,0.013278556,1.0,0.03198176,-42.387184,-100.12187,1.5126504,665.50977,1.7219634,-9.582186,0.07856007,1.0,101.62608,0.80411196,-4.633375,0.015472968,1.0,0.2545585,-42.372826,-100.098755,2.808793,0.0037102587223052977,841.6377370357513,180000
4.0888443,-4.869269,131.04788,683.76086,1.9460027,-9.637455,0.08961396,1.0,119.611435,0.8975631,-4.628163,0.013388186,1.0,0.10107073,-43.413857,-99.8909,1.2399125,672.32385,1.6763617,-9.62561,0.08724512,1.0,118.20683,0.9482906,-4.626982,0.01291579,1.0,0.036738515,-41.660213,-99.81426,2.2617521,0.003705056810379028,860.1630244255066,185000
2.0750144,-1.8818061,94.438095,671.87164,1.7690585,-9.60667,0.083457075,1.0,120.42731,0.8788156,-4.625244,0.012220502,1.0,0.2763397,-42.1526,-100.21794,1.7099016,692.974,2.08613,-9.6528845,0.092699856,1.0,122.53217,0.95062506,-4.6273365,0.01305746,1.0,0.25114942,-43.11151,-100.21571,2.0579116,0.003714802074432373,878.7370376586914,190000
2.3221936,-3.1091177,117.882675,674.67163,1.6456535,-9.589339,0.07999076,1.0,116.32112,0.80562174,-4.6307163,0.014409358,1.0,0.24207595,-42.640465,-100.06505,1.7550895,706.64764,1.9872768,-9.67953,0.09802893,1.0,120.5883,0.89186394,-4.6300974,0.014161906,1.0,0.124259934,-42.49,-99.87474,2.1960998,0.003714415502548218,897.3091185092926,195000
9.113786,-8.158345,147.36069,693.90967,2.1461668,-9.553675,0.07285776,1.0,123.19888,0.8864156,-4.628188,0.013398218,1.0,0.2015197,-43.040104,-100.16589,1.2671719,668.7713,1.6366582,-9.627771,0.08767718,1.0,112.18578,0.8688924,-4.63616,0.016586827,1.0,0.3092636,-45.630566,-100.14125,2.2740386,0.003707783317565918,915.8480379581451,200000
7.373563,-6.6930065,148.2196,672.8497,1.6571867,-9.592209,0.08056453,1.0,98.43704,0.8220358,-4.6292124,0.013807929,1.0,0.14393911,-42.445724,-100.18236,1.4425049,689.986,1.6812723,-9.623967,0.08691653,1.0,100.900406,0.83947635,-4.632605,0.015165009,1.0,0.11629641,-44.59223,-100.01132,1.4010582,0.017470708990097047,1003.2015869617462,205000
3.0180326,-2.510996,106.98131,680.7499,1.8004255,-9.556009,0.0733248,1.0,106.77724,0.8113009,-4.625168,0.012190156,1.0,0.15590638,-42.855484,-100.04314,2.4039016,684.85205,1.8259354,-9.59033,0.08018898,1.0,107.929276,0.79926443,-4.6396327,0.017975971,1.0,0.11236148,-43.72474,-100.153336,1.8248148,0.003696527624130249,1021.684228181839,210000
4.448132,-4.5190163,142.60277,679.03394,2.0633135,-9.554003,0.07292356,1.0,113.73781,0.91271627,-4.63227,0.015030945,1.0,0.042605348,-41.873768,-100.027725,1.7583579,690.2147,1.8024217,-9.597467,0.08161643,1.0,111.7312,0.8599812,-4.630241,0.014219338,1.0,0.044314675,-42.844906,-99.97052,1.8217074,0.0037160345554351805,1040.2644038200378,215000
3.5760744,-4.1035194,104.01028,689.9334,1.7606213,-9.578129,0.07774871,1.0,112.95463,0.8820876,-4.6307526,0.014424058,1.0,0.26398933,-43.01393,-99.93179,1.8205131,679.526,1.6626774,-9.64003,0.09012897,1.0,105.01329,0.82149756,-4.633611,0.015567406,1.0,0.2803266,-42.988388,-100.07147,1.2005422,0.003716834497451782,1058.8485794067383,220000
5.130046,-4.9289045,140.73296,690.99054,1.767581,-9.586103,0.079343855,1.0,96.87006,0.8033694,-4.6282945,0.013440742,1.0,0.20494166,-41.967026,-99.98874,1.7869632,704.52563,1.9666848,-9.62096,0.086315036,1.0,94.152664,0.8310611,-4.6356754,0.016393155,1.0,0.19059426,-42.560486,-99.85211,1.7589278,0.003705041313171387,1077.373788356781,225000
2.4880598,-2.411046,85.33643,689.50793,2.0404763,-9.630714,0.08826589,1.0,119.192894,0.89200807,-4.625566,0.012349389,1.0,0.7240879,-42.748856,-99.9702,1.6005323,693.91943,1.9379946,-9.648544,0.09183178,1.0,117.48406,0.8706485,-4.6305156,0.014329298,1.0,0.16396669,-41.298748,-99.93323,1.961148,0.003713342809677124,1095.9405057430267,230000
3.5450494,-3.2189345,95.78148,702.73035,2.316063,-9.530281,0.068179004,1.0,112.47082,0.85592175,-4.632866,0.015269409,1.0,0.09314709,-44.26287,-100.14652,1.1542046,686.5518,1.9289329,-9.583654,0.07885373,1.0,112.66459,0.8465675,-4.638263,0.017428348,1.0,0.12099533,-43.15017,-100.09749,1.4541984,0.0037067051410675047,1114.4740359783173,235000
1.9959005,-2.7081385,95.86872,670.50964,1.729944,-9.606483,0.083419606,1.0,122.88793,0.9315348,-4.625194,0.012200593,1.0,0.16409835,-44.133705,-99.86534,1.563649,682.55273,1.8267182,-9.617544,0.08563175,1.0,129.1914,0.9051531,-4.63585,0.016462743,1.0,0.13456368,-43.981667,-99.98845,1.6645697,0.0037054447174072265,1133.001262664795,240000
2.322712,-3.2383826,88.985,687.9934,2.0041764,-9.554686,0.07306005,1.0,107.15263,0.863178,-4.6255016,0.012323583,1.0,0.078481935,-42.646317,-100.03851,1.1742706,687.0128,1.9254686,-9.634445,0.08901212,1.0,105.71202,0.8282957,-4.6328173,0.015249885,1.0,0.39537114,-40.686672,-99.88876,1.0700326,0.0037111979007720948,1151.5572550296783,245000
1.7157228,-2.4655895,100.0253,679.37756,1.8396635,-9.543995,0.07092182,1.0,101.82785,0.8541095,-4.6236835,0.011596333,1.0,0.16454461,-44.381783,-99.89613,1.9607279,695.19507,1.9973955,-9.64719,0.09156096,1.0,111.26337,0.85876703,-4.6342907,0.015839124,1.0,0.24697998,-42.132507,-99.776,1.6801854,0.0037121516704559324,1170.118019104004,250000
5.232026,-6.734619,111.68414,657.7919,1.4276645,-9.572212,0.076565415,1.0,107.78653,0.83376527,-4.6273117,0.013047664,1.0,0.18859386,-43.821716,-99.80541,1.5687621,688.5582,1.7937458,-9.644726,0.0910682,1.0,105.75003,0.7836067,-4.6321,0.014963159,1.0,0.15327296,-42.77168,-99.97048,1.5645316,0.0037138522624969483,1188.6872837543488,255000
3.313044,-4.031497,104.86936,657.0126,1.5791323,-9.580498,0.0782226,1.0,106.44723,0.82935524,-4.634183,0.015796123,1.0,0.15707517,-42.48496,-100.212166,2.0928986,676.82404,1.5797212,-9.642788,0.09068049,1.0,106.520035,0.8639388,-4.634165,0.015788887,1.0,0.24529439,-42.324814,-100.05173,2.1839714,0.0037075018882751463,1207.224796295166,260000
5.161012,-3.7581584,96.40565,674.75684,1.6856444,-9.571764,0.07647573,1.0,113.54768,0.8447427,-4.623041,0.011339509,1.0,0.068726115,-41.455162,-99.87038,1.3328152,670.61304,1.7730011,-9.631905,0.088503994,1.0,107.860306,0.9079675,-4.6318965,0.014881521,1.0,0.07437049,-40.93309,-99.98013,1.2860873,0.003704717540740967,1225.7483866214752,265000
5.0183086,-5.177187,125.3979,674.9576,1.7242243,-9.579659,0.078054704,1.0,101.397125,0.84392774,-4.625263,0.0122281015,1.0,0.19140741,-45.415802,-99.9814,2.7478924,705.3485,2.010983,-9.623295,0.0867819,1.0,108.69411,0.88782704,-4.6354585,0.016306316,1.0,0.34241465,-42.612103,-99.82359,2.0159242,0.003706758451461792,1244.2821826934814,270000
4.113415,-2.7409446,148.3915,665.2042,1.5250115,-9.567089,0.07554067,1.0,87.10737,0.7764333,-4.623152,0.01138369,1.0,0.09722433,-45.28704,-99.94078,2.8549082,697.7926,2.2317944,-9.590681,0.08025914,1.0,96.11194,0.85085714,-4.6299305,0.014095274,1.0,0.14491832,-43.059208,-99.93669,1.2321804,0.0037111273288726807,1262.8378219604492,275000
2.359178,-2.5638804,99.35141,669.2545,1.7835412,-9.550727,0.072268315,1.0,103.52495,0.82174605,-4.6281404,0.013379091,1.0,0.15498435,-41.247807,-99.76462,1.1715679,699.13086,2.1481624,-9.585224,0.07916776,1.0,99.14383,0.8088008,-4.6339564,0.015705628,1.0,0.18197873,-41.842377,-99.90592,2.2661533,0.0037105968952178955,1281.3908100128174,280000
9.7782345,-10.386229,158.90767,673.0869,1.8152773,-9.609262,0.08397551,1.0,106.92046,0.8940681,-4.6291842,0.013796619,1.0,0.10933412,-41.91639,-99.97856,1.4440873,673.4907,1.3798088,-9.621155,0.086353816,1.0,102.59436,0.88270354,-4.631188,0.0145980865,1.0,0.1910183,-43.083797,-99.75924,1.2104023,0.003706220006942749,1299.9219126701355,285000
3.6140578,-3.8377666,122.43874,697.9087,2.1735477,-9.593229,0.08076876,1.0,113.427574,0.8471627,-4.625514,0.012328577,1.0,0.12561128,-43.52801,-100.22385,1.9023428,689.54504,2.0378222,-9.630486,0.08822017,1.0,109.83836,0.8352161,-4.6374474,0.017101837,1.0,0.2330859,-43.411674,-99.86816,1.426342,0.0037143166065216064,1318.493498802185,290000
2.1719055,-2.3298264,70.702866,682.1177,1.6975527,-9.543251,0.07077329,1.0,98.04111,0.7818252,-4.6256104,0.012367298,1.0,0.14113063,-42.81568,-99.79903,0.84167504,669.40424,1.6175594,-9.601023,0.082327425,1.0,99.79786,0.7939648,-4.6355667,0.016349727,1.0,0.13524395,-43.116146,-99.86113,1.1977237,0.003721671009063721,1337.1018567085266,295000
4.1540866,-3.222345,83.294556,704.4973,2.3738933,-9.556236,0.073370196,1.0,109.449524,0.8231027,-4.6252813,0.012235315,1.0,0.4294172,-44.619255,-99.96657,1.6130443,702.92676,2.0546749,-9.654091,0.09294122,1.0,108.14099,0.8224777,-4.6354218,0.016291505,1.0,0.06424831,-43.106533,-99.91513,1.760063,0.0037097007751464846,1355.6503632068634,300000
2.1555002,-2.5663764,76.86221,656.1008,1.6278095,-9.609953,0.08411342,1.0,96.93939,0.7717624,-4.6278872,0.0132779125,1.0,0.34551203,-42.36875,-99.868454,1.0877833,694.271,1.982647,-9.640266,0.09017607,1.0,102.72662,0.8287928,-4.6394434,0.017900405,1.0,0.5437519,-42.33983,-99.795975,2.158028,0.017722806882858277,1444.2644007205963,305000
10.28757,-9.4887085,169.90594,689.0393,2.0840654,-9.537869,0.06969693,1.0,108.20659,0.80482715,-4.6219687,0.010910337,1.0,0.2237276,-42.053635,-99.92825,1.3572145,692.66785,1.9172808,-9.590321,0.080187134,1.0,100.98202,0.834187,-4.628545,0.013540882,1.0,0.13506016,-44.08097,-100.027145,1.4189917,0.003704194974899292,1462.7853782176971,310000
8.540294,-9.39827,189.33658,684.5394,1.8911228,-9.623571,0.086837284,1.0,109.64879,0.8303122,-4.6266146,0.01276882,1.0,0.17023745,-42.857536,-100.25837,2.3442726,669.907,1.5754561,-9.68053,0.098228894,1.0,119.28135,0.9237727,-4.629897,0.014081708,1.0,0.17121053,-43.06343,-99.86153,2.7659092,0.0037086766719818115,1481.328763961792,315000
3.2313197,-2.9922848,110.324265,675.6438,2.0418515,-9.57353,0.07682898,1.0,114.3383,0.86804533,-4.62686,0.012867078,1.0,0.089415595,-42.444378,-99.98802,2.032333,694.777,1.9239488,-9.638666,0.089856245,1.0,110.96844,0.87080646,-4.637336,0.017057398,1.0,0.103060015,-42.46846,-99.8479,2.6977713,0.0037114450454711913,1499.8859918117523,320000
6.068097,-7.384741,124.39551,674.14294,1.9554332,-9.585678,0.07925859,1.0,101.5051,0.8134518,-4.624721,0.012011394,1.0,0.17638618,-43.070026,-99.83286,0.90621144,687.7577,1.5748317,-9.706499,0.1034228,1.0,102.04376,0.82162094,-4.6340375,0.01573795,1.0,0.18096565,-42.80503,-99.89818,2.0885518,0.00371308708190918,1518.451431274414,325000
1.8464116,-2.075683,88.683914,694.37354,2.0478117,-9.533191,0.068761125,1.0,109.12901,0.8693856,-4.6222515,0.011023583,1.0,0.075512275,-44.641876,-99.90488,1.6269302,695.3408,1.8725147,-9.67042,0.0962068,1.0,110.118,0.77232254,-4.6355095,0.016326696,1.0,0.05488377,-43.933586,-99.83057,2.0492644,0.0037069203853607176,1536.9860360622406,330000
2.650305,-4.2829847,98.59714,684.5647,2.0275605,-9.552042,0.072531514,1.0,118.30001,0.8081249,-4.6214576,0.010706079,1.0,0.31618953,-43.148216,-99.73512,1.1221806,672.68555,1.7666103,-9.610848,0.08429264,1.0,123.9748,0.8832501,-4.632963,0.0153081,1.0,0.4734539,-43.358715,-99.830345,1.4502722,0.0037058264255523683,1555.5151720046997,335000
5.715898,-5.3013153,150.25214,674.1365,1.8209302,-9.502001,0.062523074,1.0,110.44577,0.91096866,-4.6255865,0.012357672,1.0,0.0708321,-43.44364,-99.80853,2.052647,685.23596,1.7784812,-9.628275,0.087778114,1.0,111.16599,0.8888775,-4.6335125,0.015527907,1.0,0.073554836,-43.055992,-99.86913,1.0042063,0.003706697654724121,1574.0486636161804,340000
